python,1,0
sql,1,0
java,1,0
programming,1,0
analytics,1,0
nlp,1,0
mongodb,1,0
git,1,0
github,1,0
automation,1,0
development,1,0
management,1,0
javascript,1,0
perl,1,0
php,1,0
c++,1,0
cad,1,0
autocad,1,0
cms,1,0
seo,1,0
coding,1,0
tableau,1,0
keep,0,1
me,0,1
where,0,1
the,0,1
light,0,1
is,0,1
shining,0,1
on,0,1
me,0,1
going,0,1
under,0,1
time,0,1
fear,0,1
no,0,1
one,0,1
save,0,1
me,0,1
all,0,1
nothing,0,1
crazy,0,1
this,0,1
part,0,1
of,0,1
lab,0,1
involve,0,1
will,0,1
encrypting,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
99,0,1
000,0,1
display,0,1
both,0,1
pictures,0,1
useful,0,1
use,0,1
information,0,1
tool,0,1
editor,0,1
gravity,0,1
working,0,1
against,0,1
wants,0,1
bring,0,1
down,0,1
never,0,1
know,0,1
makes,0,1
this,0,1
man,0,1
woman,0,1
fall,0,1
love,0,1
dream,0,1
ways,0,1
throw,0,1
all,0,1
away,0,1
contain,0,1
header,0,1
correct,0,1
corrected,0,1
original,0,1
custom,0,1
princeton,0,1
analyst,0,1
2017,0,1
2018,0,1
2019,0,1
drexel,0,1
nj,0,1
wilmington,0,1
